,0
0,-0.002038585254922509
1,-0.001680937479250133
2,-0.7660179138183594
3,0.6428138017654419
4,-0.0007114246836863458
5,-0.0005460813990794122
6,-0.7670819163322449
7,0.6415485143661499
8,-0.0007361259777098894
9,-0.0005609922809526324
10,-0.7672044634819031
11,0.6414019465446472
12,-0.0008292074780911207
13,-0.0006507641519419849
14,-0.7672197222709656
15,0.6413835287094116
16,-0.0008940970874391496
17,-0.0007071217987686396
18,-0.7672176361083984
19,0.6413859128952026
20,-0.0009603093494661152
21,-0.0007488785195164382
22,-0.7672373652458191
23,0.6413621306419373
24,-0.001083244802430272
25,-0.0008615759434178472
26,-0.7672790884971619
27,0.6413118243217468
28,-0.0011641110759228468
29,-0.0009204896632581949
30,-0.7672763466835022
31,0.6413149833679199
32,-0.0012097286526113749
33,-0.0009569469257257879
34,-0.7673014998435974
35,0.6412847638130188
36,-0.0012893652310594916
37,-0.0010310723446309566
38,-0.7672975063323975
39,0.6412891745567322
40,-0.0013221771223470569
41,-0.001064816489815712
42,-0.7671844363212585
43,0.6414244174957275
44,-0.0012875307584181428
45,-0.0010231762425974011
46,-0.7672057151794434
47,0.6413989663124084
48,-0.0012838211841881275
49,-0.0010246463352814317
50,-0.7671864628791809
51,0.6414220333099365
52,-0.0012444575550034642
53,-0.0010008407989516854
54,-0.767228364944458
55,0.64137202501297
56,-0.0011416004272177815
57,-0.0009027945343405008
58,-0.7672523856163025
59,0.6413437128067017
60,-0.0010645984439179301
61,-0.0008709405665285885
62,-0.7673072814941406
63,0.6412781476974487
64,-0.0009757626103237271
65,-0.0008150580106303096
66,-0.7674368619918823
67,0.641123354434967
68,-0.0008733347640372813
69,-0.0007126735290512443
70,-0.7675492763519287
71,0.6409890055656433
