,0
0,5.425050735473633
1,8.200692176818848
2,5.406813621520996
3,8.09375
4,5.385279655456543
5,7.973970890045166
6,5.36368465423584
7,7.8542046546936035
8,5.342085361480713
9,7.7344255447387695
10,5.32047176361084
11,7.614626407623291
12,5.2988715171813965
13,7.494840145111084
14,5.277237892150879
15,7.375060081481934
16,5.2556047439575195
17,7.2552666664123535
18,5.233999252319336
19,7.1354660987854
20,5.212401866912842
21,7.01566219329834
22,5.190836429595947
23,6.895804405212402
24,5.169260025024414
25,6.7760138511657715
26,5.147665977478027
27,6.656182289123535
28,5.126073837280273
29,6.536341190338135
30,5.1044721603393555
31,6.416563987731934
32,5.082922458648682
33,6.2968220710754395
34,5.0613484382629395
35,6.177104473114014
